scenario,seed,config_label,allocator,timeout,task_completion_rate,never_completed_tasks,mean_task_delay,max_task_delay,congestion_drop_rate,mean_completion_time,deadlock_timeout_fires
amv_loss,40,Vanilla Auction,vanilla_auction,30,0.8,3,120.2,419.0,0.0,73.66666666666667,0
amv_loss,50,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,107.33333333333333,439.0,0.0,98.23076923076923,0
amv_loss,60,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,88.06666666666666,443.0,0.0,84.64285714285714,0
amv_loss,70,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,96.4,455.0,0.0,111.35714285714286,0
amv_loss,80,Vanilla Auction,vanilla_auction,30,0.7333333333333333,4,151.86666666666667,449.0,0.0,111.72727272727273,0
amv_loss,90,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,111.53333333333333,456.0,0.0,119.84615384615384,0
amv_loss,1000,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,113.93333333333334,456.0,0.0,118.15384615384616,0
comm_blackout,42,Vanilla Auction,vanilla_auction,30,1.0,0,72.13333333333334,204.0,0.0,113.66666666666667,0
comm_blackout,100,Vanilla Auction,vanilla_auction,30,1.0,0,72.66666666666667,199.0,0.0,117.53333333333333,0
comm_blackout,2023,Vanilla Auction,vanilla_auction,30,1.0,0,76.0,203.0,0.0,124.13333333333334,0
comm_blackout,888,Vanilla Auction,vanilla_auction,30,1.0,0,75.8,233.0,0.0,118.4,0
comm_blackout,9999,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,102.73333333333333,233.0,0.0,147.64285714285714,0
comm_blackout,10,Vanilla Auction,vanilla_auction,30,1.0,0,89.13333333333334,149.0,0.0,211.66666666666666,0
comm_blackout,20,Vanilla Auction,vanilla_auction,30,1.0,0,81.06666666666666,211.0,0.0,136.66666666666666,0
comm_blackout,30,Vanilla Auction,vanilla_auction,30,1.0,0,72.6,187.0,0.0,114.4,0
comm_blackout,40,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,86.33333333333333,391.0,0.0,98.42857142857143,0
comm_blackout,50,Vanilla Auction,vanilla_auction,30,1.0,0,71.6,181.0,0.0,116.2,0
comm_blackout,60,Vanilla Auction,vanilla_auction,30,1.0,0,73.06666666666666,248.0,0.0,97.4,0
comm_blackout,70,Vanilla Auction,vanilla_auction,30,1.0,0,65.26666666666667,147.0,0.0,106.2,0
comm_blackout,80,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,87.66666666666667,291.0,0.0,121.0,0
comm_blackout,90,Vanilla Auction,vanilla_auction,30,1.0,0,77.26666666666667,193.0,0.0,131.06666666666666,0
comm_blackout,1000,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,95.46666666666667,261.0,0.0,126.42857142857143,0
mass_fault,42,Vanilla Auction,vanilla_auction,30,1.0,0,77.93333333333334,214.0,0.0,119.46666666666667,0
mass_fault,100,Vanilla Auction,vanilla_auction,30,1.0,0,74.73333333333333,211.0,0.0,119.6,0
mass_fault,2023,Vanilla Auction,vanilla_auction,30,1.0,0,77.66666666666667,210.0,0.0,125.8,0
mass_fault,888,Vanilla Auction,vanilla_auction,30,1.0,0,76.73333333333333,219.0,0.0,120.0,0
mass_fault,9999,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,103.93333333333334,233.0,0.0,149.64285714285714,0
mass_fault,10,Vanilla Auction,vanilla_auction,30,1.0,0,89.73333333333333,150.0,0.0,210.06666666666666,0
mass_fault,20,Vanilla Auction,vanilla_auction,30,1.0,0,77.53333333333333,203.0,0.0,133.8,0
mass_fault,30,Vanilla Auction,vanilla_auction,30,1.0,0,74.33333333333333,189.0,0.0,116.13333333333334,0
mass_fault,40,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,87.46666666666667,391.0,0.0,99.64285714285714,0
mass_fault,50,Vanilla Auction,vanilla_auction,30,1.0,0,69.53333333333333,142.0,0.0,114.8,0
